21-04-20,00:00:00,account, currency, amount, realisedPnl, unrealisedPnl, indicativeTax, unrealisedProfit, walletBalance, marginBalance, marginLeverage, marginUsedPcnt, availableMargin, withdrawableMargin
21-04-20,00:00:06,1350858, XBt, 6678153, 55071, -71136, 0, 0, 6733224, 6662088, 1.0010375125636286, 0.0109, 6589526, 6589526
21-04-20,00:00:07,1350858, XBt, 6678153, 55071, -70224, 0, 0, 6733224, 6663000, 1.0010373705538045, 0.0109, 6590438, 6590438
21-04-20,00:00:11,1350858, XBt, 6678153, 55071, -70680, 0, 0, 6733224, 6662544, 1.001037441553857, 0.0109, 6589982, 6589982
21-04-20,00:00:16,1350858, XBt, 6678153, 55071, -67488, 0, 0, 6733224, 6665736, 1.001036944757488, 0.0109, 6593177, 6593177
21-04-20,00:00:26,1350858, XBt, 6678153, 55071, -66120, 0, 0, 6733224, 6667104, 1.0010367319903815, 0.0109, 6594546, 6594546
21-04-20,00:00:31,1350858, XBt, 6678153, 55071, -61104, 0, 0, 6733224, 6672120, 1.0010359525907808, 0.0109, 6599565, 6599565
21-04-20,00:00:36,1350858, XBt, 6678153, 55071, -60192, 0, 0, 6733224, 6673032, 1.0010358110076498, 0.0109, 6600478, 6600478
21-04-20,00:00:41,1350858, XBt, 6678153, 55071, -60192, 0, 0, 6733224, 6673032, 1.0010358110076498, 0.0109, 6600479, 6600479
21-04-20,00:00:51,1350858, XBt, 6678153, 55071, -57912, 0, 0, 6733224, 6675312, 1.0010354572190783, 0.0109, 6602760, 6602760
21-04-20,00:00:57,1350858, XBt, 6678153, 55071, -61560, 0, 0, 6733224, 6671664, 1.0010360233968618, 0.0109, 6599109, 6599109
21-04-20,00:01:01,1350858, XBt, 6678153, 55071, -61104, 0, 0, 6733224, 6672120, 1.0010359525907808, 0.0109, 6599566, 6599566
21-04-20,00:01:16,1350858, XBt, 6678153, 55071, -60648, 0, 0, 6733224, 6672576, 1.0010358817943774, 0.0109, 6600022, 6600022
21-04-20,00:01:21,1350858, XBt, 6678153, 55071, -60192, 0, 0, 6733224, 6673032, 1.0010358110076498, 0.0109, 6600478, 6600478
21-04-20,00:01:26,1350858, XBt, 6678153, 55071, -57912, 0, 0, 6733224, 6675312, 1.0010354572190783, 0.0109, 6602760, 6602760
21-04-20,00:01:32,1350858, XBt, 6678153, 55071, -58824, 0, 0, 6733224, 6674400, 1.0010355987055015, 0.0109, 6601847, 6601847
21-04-20,00:01:36,1350858, XBt, 6678153, 55071, -59736, 0, 0, 6733224, 6673488, 1.001035740230596, 0.0109, 6600935, 6600935
21-04-20,00:01:42,1350858, XBt, 6678153, 55071, -62016, 0, 0, 6733224, 6671208, 1.0010360942126224, 0.0109, 6598653, 6598653
21-04-20,00:01:46,1350858, XBt, 6678153, 55071, -67032, 0, 0, 6733224, 6666192, 1.0010368738254163, 0.0109, 6593633, 6593633
21-04-20,00:01:51,1350858, XBt, 6678153, 55071, -67032, 0, 0, 6733224, 6666192, 1.0010368738254163, 0.0109, 6593634, 6593634
21-04-20,00:02:01,1350858, XBt, 6678153, 55071, -72960, 0, 0, 6733224, 6660264, 1.0010377966999506, 0.0109, 6587701, 6587701
21-04-20,00:02:06,1350858, XBt, 6678153, 55071, -83448, 0, 0, 6733224, 6649776, 1.0010394335087378, 0.0109, 6577205, 6577205
21-04-20,00:02:11,1350858, XBt, 6678153, 55071, -83904, 0, 0, 6733224, 6649320, 1.0010395047914673, 0.0109, 6576748, 6576748
21-04-20,00:02:16,1350858, XBt, 6678153, 55071, -83448, 0, 0, 6733224, 6649776, 1.0010394335087378, 0.0109, 6577205, 6577205
21-04-20,00:02:21,1350858, XBt, 6678153, 55071, -90744, 0, 0, 6733224, 6642480, 1.0010405752068505, 0.0109, 6569903, 6569903
21-04-20,00:02:26,1350858, XBt, 6678153, 55071, -93024, 0, 0, 6733224, 6640200, 1.001040932502033, 0.0109, 6567622, 6567622
21-04-20,00:02:31,1350858, XBt, 6678153, 55071, -91656, 0, 0, 6733224, 6641568, 1.001040718095486, 0.0109, 6568991, 6568991
21-04-20,00:02:36,1350858, XBt, 6678153, 55071, -88920, 0, 0, 6733224, 6644304, 1.0010402895472572, 0.0109, 6571729, 6571729
21-04-20,00:02:47,1350858, XBt, 6678153, 55071, -85272, 0, 0, 6733224, 6647952, 1.00103971869833, 0.0109, 6575379, 6575379
21-04-20,00:02:51,1350858, XBt, 6678153, 55071, -87096, 0, 0, 6733224, 6646128, 1.0010400040444603, 0.0109, 6573554, 6573554
21-04-20,00:02:56,1350858, XBt, 6678153, 55071, -87096, 0, 0, 6733224, 6646128, 1.0010400040444603, 0.0109, 6573555, 6573555
21-04-20,00:03:01,1350858, XBt, 6678153, 55071, -86184, 0, 0, 6733224, 6647040, 1.0010398613518197, 0.0109, 6574467, 6574467
21-04-20,00:03:06,1350858, XBt, 6678153, 55071, -85728, 0, 0, 6733224, 6647496, 1.001039790020182, 0.0109, 6574923, 6574923
21-04-20,00:03:11,1350858, XBt, 6678153, 55071, -82536, 0, 0, 6733224, 6650688, 1.0010392909726031, 0.0109, 6578118, 6578118
