27-04-20,00:00:02,symbol, bidSize, bidPrice, askPrice, askSize
27-04-20,00:00:15,XBTUSD, 1305250, 7702.5, 7703, 247403
27-04-20,00:01:15,XBTUSD, 219040, 7766.5, 7767, 349423
27-04-20,00:02:15,XBTUSD, 684242, 7740.5, 7741, 256642
27-04-20,00:03:15,XBTUSD, 477149, 7754.5, 7755, 688916
27-04-20,00:04:15,XBTUSD, 372053, 7761.5, 7762, 288048
27-04-20,00:05:15,XBTUSD, 7230, 7746.5, 7747, 116705
27-04-20,00:06:15,XBTUSD, 1015344, 7750, 7750.5, 75865
27-04-20,00:07:15,XBTUSD, 314219, 7726.5, 7727, 486913
27-04-20,00:08:15,XBTUSD, 82312, 7730.5, 7731, 855584
27-04-20,00:09:15,XBTUSD, 122476, 7725, 7725.5, 755933
27-04-20,00:10:15,XBTUSD, 604579, 7735, 7735.5, 436690
27-04-20,00:11:15,XBTUSD, 1371571, 7745.5, 7746, 84650
27-04-20,00:12:15,XBTUSD, 30798, 7744.5, 7745, 1048157
27-04-20,00:13:15,XBTUSD, 529896, 7743, 7743.5, 754435
27-04-20,00:14:15,XBTUSD, 835557, 7732.5, 7733, 500690
27-04-20,00:15:15,XBTUSD, 1311268, 7729, 7729.5, 17025
27-04-20,00:16:15,XBTUSD, 93482, 7741, 7741.5, 1121260
27-04-20,00:17:15,XBTUSD, 600782, 7752, 7752.5, 134973
27-04-20,00:18:15,XBTUSD, 989672, 7746.5, 7747, 5316
27-04-20,00:19:15,XBTUSD, 1073989, 7744.5, 7745, 53751
27-04-20,00:20:15,XBTUSD, 350250, 7745, 7745.5, 1189468
27-04-20,00:21:15,XBTUSD, 702740, 7739, 7739.5, 461016
27-04-20,00:22:15,XBTUSD, 105219, 7755.5, 7756, 7908
27-04-20,00:23:15,XBTUSD, 1103316, 7763.5, 7764, 1275417
27-04-20,00:24:15,XBTUSD, 744632, 7769.5, 7770, 12880
27-04-20,00:25:15,XBTUSD, 219286, 7779, 7779.5, 814772
27-04-20,00:26:15,XBTUSD, 386687, 7766.5, 7767, 646242
27-04-20,00:27:15,XBTUSD, 1357482, 7764.5, 7765, 58515
27-04-20,00:28:15,XBTUSD, 280711, 7766.5, 7767, 702646
27-04-20,00:29:15,XBTUSD, 899104, 7754.5, 7755, 251332
27-04-20,00:30:15,XBTUSD, 88016, 7757.5, 7758, 977951
27-04-20,00:31:15,XBTUSD, 511067, 7764.5, 7765, 586500
27-04-20,00:32:15,XBTUSD, 978515, 7765.5, 7766, 132224
27-04-20,00:33:15,XBTUSD, 66214, 7766, 7766.5, 1020229
