12-05-20,00:00:01,symbol, open, high, low, close, trades, volume, vwap, lastSize, turnover, homeNotional, foreignNotional
12-05-20,00:00:15,XBTUSD, 8616, 8616.5, 8563.5, 8565.5, 1450, 4153681, 8582.2176, 500, 48401001900, 484.01001899999994, 4153681
12-05-20,00:01:15,XBTUSD, 8565.5, 8565.5, 8546, 8550, 1124, 3760846, 8559.4453, 30, 43940024041, 439.40024041000015, 3760846
12-05-20,00:02:15,XBTUSD, 8550, 8569.5, 8550, 8566, 598, 2614551, 8562.3769, 307, 30536950371, 305.36950371, 2614551
12-05-20,00:03:15,XBTUSD, 8566, 8566, 8529, 8540, 1303, 3481324, 8546.2781, 1091, 40736827011, 407.3682701099999, 3481324
12-05-20,00:04:15,XBTUSD, 8540, 8552.5, 8540, 8550, 374, 976125, 8548.4698, 120, 11419352155, 114.19352154999999, 976125
12-05-20,00:05:15,XBTUSD, 8550, 8575, 8550, 8575, 773, 1638976, 8563.1101, 1000, 19141295747, 191.41295746999995, 1638976
12-05-20,00:06:15,XBTUSD, 8575, 8576, 8568.5, 8569, 271, 584375, 8574.1233, 4, 6816060762, 68.16060762000001, 584375
12-05-20,00:07:15,XBTUSD, 8569, 8600, 8569, 8599.5, 775, 2371242, 8591.8034, 11, 27600635339, 276.00635339000013, 2371242
12-05-20,00:08:15,XBTUSD, 8599.5, 8615, 8595.5, 8615, 848, 3276217, 8608.0744, 30, 38062398964, 380.6239896400001, 3276217
12-05-20,00:09:15,XBTUSD, 8615, 8660, 8615, 8660, 2536, 10454673, 8637.0703, 17190, 121048938405, 1210.4893840500001, 10454673
12-05-20,00:10:15,XBTUSD, 8660, 8670, 8645, 8669.5, 1516, 4292083, 8658.7583, 1000, 49571622409, 495.71622408999997, 4292083
12-05-20,00:11:15,XBTUSD, 8669.5, 8670, 8651, 8662, 828, 1879920, 8659.5081, 4, 21709588162, 217.09588162000003, 1879920
12-05-20,00:12:15,XBTUSD, 8662, 8668.5, 8644, 8650, 838, 2618645, 8655.7604, 1, 30254004873, 302.54004873, 2618645
12-05-20,00:13:15,XBTUSD, 8650, 8655, 8643, 8651.5, 386, 655109, 8649.7708, 1000, 7573794145, 75.73794145, 655109
12-05-20,00:14:15,XBTUSD, 8651.5, 8669, 8651.5, 8656.5, 761, 2388458, 8661.7583, 195, 27577051829, 275.77051829, 2388458
12-05-20,00:15:15,XBTUSD, 8656.5, 8657.5, 8641, 8641.5, 398, 1334809, 8651.2674, 2000, 15429696507, 154.29696506999997, 1334809
12-05-20,00:16:15,XBTUSD, 8641.5, 8656, 8641, 8655.5, 313, 722346, 8647.5268, 20, 8353654387, 83.53654387, 722346
12-05-20,00:17:15,XBTUSD, 8655.5, 8659.5, 8655.5, 8656, 228, 874582, 8657.2591, 1, 10102639528, 101.02639528, 874582
12-05-20,00:18:15,XBTUSD, 8656, 8670.5, 8645, 8670, 945, 3910331, 8655.7604, 120, 45179472903, 451.7947290300001, 3910331
12-05-20,00:19:15,XBTUSD, 8670, 8684, 8655, 8655, 1107, 3789634, 8669.2674, 3811, 43715223107, 437.15223107, 3789634
12-05-20,00:20:15,XBTUSD, 8655, 8655, 8627.5, 8628, 822, 2074007, 8637.8164, 500, 24012228785, 240.12228785, 2074007
12-05-20,00:21:15,XBTUSD, 8628, 8640.5, 8627.5, 8640.5, 283, 731655, 8635.5786, 31, 8472706647, 84.72706646999998, 731655
12-05-20,00:22:15,XBTUSD, 8640.5, 8644, 8632.5, 8633, 296, 763764, 8640.8019, 1000, 8839710725, 88.39710725, 763764
12-05-20,00:23:15,XBTUSD, 8633, 8633, 8621, 8627, 382, 1155168, 8628.1277, 530, 13388427976, 133.88427976000003, 1155168
12-05-20,00:24:15,XBTUSD, 8627, 8635, 8625, 8626, 334, 813468, 8628.1277, 250, 9428831400, 94.28831400000001, 813468
12-05-20,00:25:15,XBTUSD, 8626, 8642, 8625.5, 8642, 355, 566382, 8636.3244, 1, 6558363821, 65.58363821, 566382
12-05-20,00:26:15,XBTUSD, 8642, 8642, 8632, 8632, 246, 341006, 8635.5786, 851, 3948992090, 39.4899209, 341006
12-05-20,00:27:15,XBTUSD, 8632, 8650, 8632, 8649.5, 383, 400074, 8643.7894, 10, 4628615771, 46.28615771000001, 400074
12-05-20,00:28:15,XBTUSD, 8649.5, 8657, 8649.5, 8657, 360, 1348466, 8654.2622, 23, 15581851246, 155.81851246, 1348466
12-05-20,00:29:15,XBTUSD, 8657, 8657, 8650.5, 8650.5, 177, 292222, 8655.7604, 1, 3376209802, 33.762098019999996, 292222
12-05-20,00:30:15,XBTUSD, 8650.5, 8651, 8638.5, 8638.5, 237, 734182, 8643.7894, 20, 8494072471, 84.94072471, 734182
12-05-20,00:31:15,XBTUSD, 8638.5, 8639, 8615, 8615.5, 844, 3173022, 8628.1277, 20, 36776821494, 367.76821494, 3173022
12-05-20,00:32:15,XBTUSD, 8615.5, 8618.5, 8613, 8613, 421, 1237732, 8616.9754, 2000, 14365100636, 143.65100636, 1237732
12-05-20,00:33:15,XBTUSD, 8613, 8613, 8602.5, 8608, 542, 1718757, 8607.3334, 732, 19968527507, 199.68527507000005, 1718757
